11190	83	27	5	19
19052	77	32	10	16
15871	39	17	3	7
7403	59	19	7	9
3336	68	32	6	16
8607	84	31	8	15
14416	60	22	7	14
2233	90	32	9	18
8614	80	25	7	16
11232	82	33	9	15
17226	92	23	.	19
15558	64	19	7	14
5437	33	15	6	2
4675	91	29	8	15
9489	36	20	10	6
16040	37	15	5	4
5327	53	21	9	8
20283	52	24	.	13
16798	93	27	7	18
5684	46	18	7	11
16090	46	19	.	8
13251	92	30	.	18
18955	96	29	12	18
7287	83	32	11	18
9868	93	35	7	17
12597	93	32	9	14
5471	53	21	.	11
10960	57	20	8	6
20606	82	38	9	17
4788	66	26	4	13
21219	80	26	.	16
7728	85	37	10	16
17224	97	38	10	18
16976	73	21	.	18
4767	74	30	9	17
12801	85	27	11	18
13188	63	19	10	12
1762	47	19	10	8
4884	55	19	6	11
15478	37	14	.	7
14501	72	33	9	9
5052	38	8	6	4
9247	50	24	6	9
17023	69	26	.	16
224	22	11	8	6
4561	51	14	5	12
11205	63	29	9	11
20264	59	29	11	10
13146	93	39	8	15
18717	49	25	.	11
15298	55	31	10	13
3862	49	24	9	13
11108	68	29	6	12
14652	49	16	7	11
17243	84	22	.	19
17985	96	35	9	17
18340	83	24	9	19
11768	94	38	9	18
18884	43	19	.	7
15467	53	26	.	9
12294	41	15	8	8
1234	61	22	8	9
6581	48	13	5	14
12485	85	26	8	20
16908	30	11	6	3
17510	21	9	4	1
1693	68	25	.	16
19885	56	22	10	14
18550	46	18	.	16
6961	34	15	6	8
2380	65	28	4	11
2950	49	25	.	13
2451	70	27	5	13
5618	87	28	.	17
1355	87	32	8	19
5833	27	11	.	5
11839	87	31	8	16
4963	52	23	9	14
2157	13	10	7	2
19000	71	23	9	15
17459	55	21	7	11
6033	96	33	8	20
5937	77	20	10	13
20208	76	30	8	14
12867	58	23	.	11
20790	73	27	6	15
4935	40	14	6	7
17263	50	26	7	15
1506	63	23	9	17
19198	80	35	6	16
13162	88	33	9	15
2869	72	33	9	14
5258	73	28	8	14
21115	94	35	.	20
10769	60	23	7	11
15751	50	19	9	11
19284	35	16	4	4
15163	83	36	10	20
16168	21	9	.	0
15970	74	27	9	15
8629	85	27	7	18
12400	70	27	9	14
10672	51	18	.	8
9979	34	12	6	5
3470	94	25	7	17
15910	89	38	7	16
11920	93	34	10	18
14936	37	15	.	9
18502	14	4	6	0
496	32	4	.	.
9936	70	23	6	19
3243	71	28	9	12
20177	81	26	9	17
3505	51	23	5	8
6738	87	34	.	15
4256	66	32	5	12
7869	63	18	8	14
20978	89	31	10	18
15119	92	37	8	17
8139	94	27	8	19
20473	52	15	8	14
18755	38	13	7	8
17360	13	4	5	0
12588	93	28	8	16
21086	92	25	8	13
19978	86	26	10	18
11553	72	29	9	15
2884	81	34	6	15
17809	66	36	12	11
1163	52	21	7	14
8142	80	29	8	9
13952	49	23	9	12
818	88	30	.	15
479	90	31	9	17
5124	73	28	10	14
16400	78	30	.	12
8306	50	27	6	12
20300	85	29	7	16
2712	52	20	8	10
9988	69	27	4	14
5478	49	15	6	12
4132	91	36	10	19
13605	39	16	3	7
8240	90	37	6	14
5773	38	14	3	5
8516	94	34	10	18
1407	40	16	9	12
19562	51	21	7	11
14433	59	31	8	15
1065	39	19	.	5
10567	1	0	6	0
10283	55	30	6	10
18976	63	22	7	14
6749	37	12	6	4
677	36	15	4	7
20367	76	29	10	12
2154	89	40	10	17
7122	83	23	7	16
8711	54	25	9	12
