2272	.	117	42	14	.	9
2279	114	123	86	29	8	12
2282	101	119	56	18	6	14
2284	102	118	77	26	8	17
2290	103	117	37	11	3	6
2299	102	118	82	31	9	16
2300	101	114	34	18	9	8
2302	102	114	39	16	8	5
2305	102	117	43	22	7	13
2312	.	124	87	32	.	18
2322	.	115	46	18	.	6
2329	118	124	76	27	8	16
2338	103	121	81	39	9	13
2343	106	122	63	27	9	10
2353	103	115	75	21	3	10
2357	100	114	79	30	8	17
2359	101	116	82	40	8	13
2363	102	120	73	33	6	15
2371	102	122	77	31	7	11
2386	111	114	60	21	8	14
2393	102	118	92	33	8	20
2406	102	118	95	36	8	19
2417	.	114	59	28	.	13
2419	.	122	40	15	.	8
2421	103	119	79	26	7	18
2425	103	115	53	13	4	8
2433	103	116	50	21	10	7
2443	105	118	43	17	7	10
2455	103	116	24	9	3	4
2459	121	128	77	22	6	12
2469	102	119	83	30	6	13
2473	107	122	52	15	6	12
2474	102	118	64	24	6	14
2475	103	115	79	26	7	16
2477	107	117	88	28	7	17
2483	.	120	85	30	.	19
2494	.	122	37	17	.	4
2499	115	119	82	31	7	16
2509	102	114	57	15	6	7
2518	103	115	90	38	8	17
2525	120	124	88	33	11	17
2527	105	120	65	21	6	7
2547	103	114	82	24	7	15
2555	101	119	63	34	7	12
2563	103	115	49	19	9	7
2564	99	118	56	20	7	11
2566	104	116	93	34	9	19
2579	101	119	88	35	9	17
2583	105	115	79	30	6	16
2587	.	121	46	18	.	11
2593	102	124	90	31	6	15
2595	103	116	75	28	6	18
2599	118	119	95	33	10	18
2600	104	116	81	36	7	17
2602	103	115	58	19	10	13
2613	.	124	88	32	.	17
2614	.	119	48	23	.	9
2622	103	120	79	36	8	16
2624	102	117	40	20	5	10
2636	102	119	25	12	7	2
2648	103	117	65	27	7	13
2655	99	114	37	17	6	10
2656	112	119	34	14	9	9
2658	.	117	38	16	.	7
2667	.	134	94	26	.	17
2669	107	130	97	30	3	18
2682	103	117	77	29	7	18
2696	103	119	41	17	8	6
2698	103	119	63	25	7	12
2706	109	119	73	27	7	15
2708	108	120	92	33	5	.
2714	106	122	75	32	5	9
2721	103	116	94	39	9	19
2725	112	125	36	16	7	5
2729	109	117	70	38	11	13
2736	105	117	65	28	8	13
2740	102	119	61	25	5	14
2743	105	117	61	27	7	12
2748	103	122	24	10	8	5
2755	103	115	78	33	10	16
2756	107	115	52	22	6	10
2757	100	116	54	25	7	11
2761	102	114	58	21	7	11
2766	102	117	81	28	6	16
2769	103	125	70	18	6	15
2777	102	115	39	18	9	3
2778	103	114	86	30	7	14
2780	.	119	94	34	.	19
2785	103	115	55	20	8	10
2787	104	117	66	21	8	12
2789	102	113	14	11	8	3
2791	102	122	49	19	9	10
2796	103	118	44	17	4	6
2798	101	122	82	20	9	18
2804	101	116	66	28	7	10
2810	101	119	92	28	7	17
2820	.	120	23	9	.	5
2827	104	122	69	22	7	14
2829	104	117	81	25	7	14
2833	.	117	12	3	.	0
2839	.	122	25	12	.	1
2840	.	117	75	24	.	14
2844	107	120	53	25	8	16
2870	102	114	54	26	10	13
2872	104	119	82	37	9	16
2876	105	121	47	14	6	9
2879	101	118	63	24	7	10
